,DOI,title,author,volume,issue,issued_year,issued_month,crossref_ref_by_count,gscholar_ref_by_count,journal,file_name,cites_per_year
1313,10.1016/j.jmp.2010.02.001,['On the minimum description length complexity of multinomial processing tree models'],"['Hao Wu', 'Jay I. Myung', 'William H. Batchelder']",54,3,2010,6,25.0,,jmp,2010-Wu-Minimum.txt,1.6
1314,10.1016/j.jmp.2010.01.006,['The exponential learning equation as a function of successful trials results in sigmoid performance'],"['Nathaniel Leibowitz', 'Barak Baum', 'Giora Enden', 'Amir Karniel']",54,3,2010,6,101.0,,jmp,2010-Leibowitz-Exponential.txt,6.3
1315,10.1016/j.jmp.2010.01.001,"['On the statistical and theoretical basis of signal detection theory and extensions: Unequal variance, random coefficient, and mixture models']",['Lawrence T. DeCarlo'],54,3,2010,6,52.0,,jmp,2010-DeCarlo-Statistical.txt,3.2
1316,10.1016/j.jmp.2010.03.001,['Bounded Ornstein–Uhlenbeck models for two-choice time controlled tasks'],"['Jiaxiang Zhang', 'Rafal Bogacz']",54,3,2010,6,12.0,,jmp,2010-Zhang-Ornstein–Uhlenbeck.txt,0.8
1317,10.1016/j.jmp.2009.07.008,"['Factor Analysis at 100. Historical Developments and Future Directions. By Robert Cudeck, &amp; Robert C. MacCallum (Eds.). Lawrence Earlbaum Associates, Mahwah, NJ, 2007, xiii+381 pp., price $99.95, ISBN:978-0-8058-5347-6 (hardcover), and $44.95, ISBN 978-0-8058-6212-6 (paperback)']",['Adalbert Wilhelm'],54,3,2010,6,0.0,,jmp,2010-Wilhelm-Analysis.txt,0.0
1318,10.1016/j.jmp.2010.05.001,['Erratum to “Testing for selectivity in the dependence of random variables on external factors” [J. Math. Psych. 52 (2008) 128–144]'],"['Janne V. Kujala', 'Ehtibar N. Dzhafarov']",54,4,2010,8,1.0,,jmp,2010-Kujala-“testing.txt,0.1
1319,10.1016/j.jmp.2010.03.002,"['Testing lexicographic semiorders as models of decision making: Priority dominance, integration, interaction, and transitivity']",['Michael H. Birnbaum'],54,4,2010,8,24.0,,jmp,2010-Birnbaum-Lexicographic.txt,1.5
1320,10.1016/j.jmp.2010.01.002,['On the coefficient of variation as a criterion for decision under risk'],"['James C. Cox', 'Vjollca Sadiraj']",54,4,2010,8,15.0,,jmp,2010-Cox-Coefficient.txt,0.9
1321,10.1016/j.jmp.2010.03.003,['On the coefficient of variation as a predictor of risk sensitivity: Behavioral and neural evidence for the relative encoding of outcome variability'],['Elke U. Weber'],54,4,2010,8,4.0,,jmp,2010-Weber-Coefficient.txt,0.2
1322,10.1016/j.jmp.2010.06.002,['Generalized extensive measurement for lexicographic orders'],['Erik Carlson'],54,4,2010,8,8.0,,jmp,2010-Carlson-Extensive.txt,0.5
