,DOI,title,author,volume,issue,issued_year,issued_month,crossref_ref_by_count,gscholar_ref_by_count,journal,file_name,cites_per_year
0,10.1016/0022-2496(64)90021-5,['Choice behavior and reward structure'],"['Jerome L. Myers', 'Richard C. Atkinson']",1,1,1964,1,15.0,50.0,jmp,1964-Myers-Behavior.txt,0.2
1,10.1016/0022-2496(64)90015-x,['Simultaneous conjoint measurement: A new type of fundamental measurement'],"['R.Duncan Luce', 'John W. Tukey']",1,1,1964,1,1350.0,3164.0,jmp,1964-Luce-Conjoint.txt,21.8
2,10.1016/0022-2496(64)90016-1,['Point estimation in learning models'],['Helena Chmura Kraemer'],1,1,1964,1,3.0,8.0,jmp,1964-Kraemer-Learning.txt,0.0
3,10.1016/0022-2496(64)90022-7,['Transfer effects in discrimination learning'],"['Morton P. Friedman', 'Harold Gelfand']",1,1,1964,1,9.0,38.0,jmp,1964-Friedman-Discrimination.txt,0.1
4,10.1016/0022-2496(64)90018-5,"['Sensory thresholds, response biases, and the neural quantum theory']",['Donald A. Norman'],1,1,1964,1,53.0,64.0,jmp,"1964-Norman-Thresholds,.txt",0.9
5,10.1016/0022-2496(64)90019-7,['Linear models for responses measured on a continuous scale'],['Norman H. Anderson'],1,1,1964,1,15.0,51.0,jmp,1964-Anderson-Models.txt,0.2
6,10.1016/0022-2496(64)90017-3,['Attention and the metric structure of the stimulus space'],['Roger N. Shepard'],1,1,1964,1,432.0,1013.0,jmp,1964-Shepard-Metric.txt,7.0
7,10.1016/0022-2496(64)90020-3,['Component learning in the four-category concept problem'],"['Tom Trabasso', 'Gorden Bower']",1,1,1964,1,16.0,45.0,jmp,1964-Trabasso-Learning.txt,0.3
8,10.1016/0022-2496(64)90004-5,['A generalization of a theorem of dimensional analysis'],['R.Duncan Luce'],1,2,1964,7,37.0,61.0,jmp,1964-Luce-Generalization.txt,0.6
9,10.1016/0022-2496(64)90006-9,['Finite state models for perception'],"['Gilbert K Krulee', 'David J Kuck']",1,2,1964,7,1.0,1.0,jmp,1964-Krulee-State.txt,0.0
10,10.1016/0022-2496(64)90012-4,['Programming a computer model of neurosis'],"['Kenneth Mark Colby', 'John P Gilbert']",1,2,1964,7,60.0,121.0,jmp,1964-Mark Colby-Computer.txt,1.0
11,10.1016/0022-2496(64)90001-x,['Stochastic models for the response continuum in a determinate situation: Comparisons and extensions'],"['Henry Rouanet', 'Seymour Rosenberg']",1,2,1964,7,7.0,15.0,jmp,1964-Rouanet-Models.txt,0.1
12,10.1016/0022-2496(64)90003-3,['Conjoint measurement: The Luce-Tukey axiomatization and some extensions'],['David H Krantz'],1,2,1964,7,101.0,236.0,jmp,1964-Krantz-Measurement:.txt,1.6
13,10.1016/0022-2496(64)90008-2,['Sequential decision-making in a computer-controlled task'],['Amnon Rapoport'],1,2,1964,7,13.0,34.0,jmp,1964-Rapoport-Decision_making.txt,0.2
14,10.1016/0022-2496(64)90011-2,['An all-or-none model for noncorrection routines with elimination of incorrect responses'],['Richar Millward'],1,2,1964,7,13.0,24.0,jmp,1964-Millward-All_or_none.txt,0.2
15,10.1016/0022-2496(64)90010-0,['On the optimal number of alternatives at a choice point'],['Amos Tversky'],1,2,1964,7,76.0,148.0,jmp,1964-Tversky-Optimal.txt,1.2
16,10.1016/0022-2496(64)90007-0,['Incremental learning on random trials'],['M.Frank Norman'],1,2,1964,7,16.0,34.0,jmp,1964-Norman-Learning.txt,0.3
17,10.1016/0022-2496(64)90009-4,['The learning of choices between bets'],"['Morton P Friedman', 'Gilbert Padilla', 'Harold Gelfand']",1,2,1964,7,4.0,8.0,jmp,1964-Friedman-Learning.txt,0.1
18,10.1016/0022-2496(64)90005-7,['A comparison of paired-associate learning models having different acquisition and retention axioms'],"['Richard C Atkinson', 'Edward J Crothers']",1,2,1964,7,71.0,176.0,jmp,1964-Atkinson-Comparison.txt,1.1
19,10.1016/0022-2496(64)90002-1,['Measurement structures and linear inequalities'],['Dana Scott'],1,2,1964,7,321.0,672.0,jmp,1964-Scott-Structures.txt,5.2
20,10.1016/0022-2496(65)90019-2,['A remark on functional dependence'],['J. Aczél'],2,1,1965,2,,,jmp,,
21,10.1016/0022-2496(65)90022-2,"['Effects of cost and gain ratios, and probability of outcome on ratings of alternative choices']",['Mary M. Suydam'],2,1,1965,2,5.0,,jmp,1965-Suydam-Cost.txt,0.1
22,10.1016/0022-2496(65)90025-8,['On Bush-Mosteller stochastic models for learning'],"['M. Iosifescu', 'R. Theodorescu']",2,1,1965,2,6.0,,jmp,1965-Iosifescu-Bush_Mosteller.txt,0.1
23,10.1016/0022-2496(65)90015-5,['Learning model solution to a problem in constrained optimization'],['Edward Crothers'],2,1,1965,2,3.0,14.0,jmp,1965-Crothers-Solution.txt,0.0
24,10.1016/0022-2496(65)90020-9,['A forgetting model for paired-associate learning'],['Harley A. Bernbach'],2,1,1965,2,22.0,,jmp,1965-Bernbach-Forgetting.txt,0.4
25,10.1016/0022-2496(65)90024-6,['Nonstationarity in paired-associate learning as indicated by a second guess procedure'],"['John R. Binford', 'Charles Gettys']",2,1,1965,2,12.0,,jmp,1965-Binford-Paired_associate.txt,0.2
26,10.1016/0022-2496(65)90014-3,['The general-gamma distribution and reaction times'],"['William J. McGill', 'John Gibbon']",2,1,1965,2,100.0,219.0,jmp,1965-McGill-General_gamma.txt,1.6
27,10.1016/0022-2496(65)90021-0,['Search behavior: A correction procedure for three-choice probability learning'],['Michael Cole'],2,1,1965,2,5.0,13.0,jmp,1965-Cole-Behavior:.txt,0.1
28,10.1016/0022-2496(65)90016-7,['The mathematical structure of reversal learning in a shock-escape T-maze: Overtraining and successive reversals'],['John Theios'],2,1,1965,2,10.0,,jmp,1965-Theios-Mathematical.txt,0.2
29,10.1016/0022-2496(65)90018-0,['Stochastic models for choice reaction time with applications to experimental results'],['J.C. Falmagne'],2,1,1965,2,97.0,,jmp,1965-Falmagne-Models.txt,1.6
30,10.1016/0022-2496(65)90023-4,['Decisions based on conflicting and inaccurate observations'],"['Wayne A. Wickelgren', 'Gordon M. Becker']",2,1,1965,2,3.0,7.0,jmp,1965-Wickelgren-Based.txt,0.0
31,10.1016/0022-2496(65)90017-9,['A paired comparison of pair comparisons'],"['C.J. Burke', 'Joseph L. Zinnes']",2,1,1965,2,16.0,,jmp,1965-Burke-Paired.txt,0.3
32,10.1016/0022-2496(65)90009-x,['An attention theory of discrimination learning'],['Elijah Lovejoy'],2,2,1965,7,20.0,,jmp,1965-Lovejoy-Attention.txt,0.3
33,10.1016/0022-2496(65)90003-9,['The relation between the discard and regularity conditions for choice probabilities'],['A.A.J. Marley'],2,2,1965,7,20.0,29.0,jmp,1965-Marley-Relation.txt,0.3
34,10.1016/0022-2496(65)90004-0,['Paired-associate models and the effects of list length'],"['Robert C. Calfee', 'Richard C. Atkinson']",2,2,1965,7,16.0,,jmp,1965-Calfee-Models.txt,0.3
35,10.1016/0022-2496(65)90005-2,['A measurement axiomatization for an essentially multiplicative representation of two factors'],['Ralph Roskies'],2,2,1965,7,22.0,,jmp,1965-Roskies-Axiomatization.txt,0.4
36,10.1016/0022-2496(65)90001-5,"[""Signal detection theory and Crozier's law: Derivation of a new sensory scaling procedure""]",['Michel Treisman'],2,2,1965,7,71.0,,jmp,"1965-Treisman-[""signal.txt",1.2
37,10.1016/0022-2496(65)90008-8,['Habituation of the GSR component of the orienting reflex during paired-associate learning before and after learning has taken place'],['Walter Kintsch'],2,2,1965,7,28.0,,jmp,1965-Kintsch-GSR.txt,0.5
38,10.1016/0022-2496(65)90011-8,"[""Some analytical properties of Elithorn's perceptual maze""]","['M.G. Davies', 'D.M. Davies']",2,2,1965,7,5.0,,jmp,"1965-Davies-[""some.txt",0.1
39,10.1016/0022-2496(65)90006-4,['Detection and recognition: Experiments and choice models'],['Elizabeth F. Shipley'],2,2,1965,7,18.0,,jmp,1965-Shipley-Recognition:.txt,0.3
40,10.1016/0022-2496(65)90010-6,['Contingent gains and losses in a risk-taking situation'],"['Jerome L. Myers', 'Mary M. Suydam', 'Blase Gambino']",2,2,1965,7,21.0,45.0,jmp,1965-Myers-Gains.txt,0.3
41,10.1016/0022-2496(65)90007-6,"['Optimal strategies for seeking information: Models for statistics, choice reaction times, and human information processing']",['Ward Edwards'],2,2,1965,7,212.0,,jmp,1965-Edwards-Strategies.txt,3.5
42,10.1016/0022-2496(65)90002-7,['Stochastic learning models for social competition'],"['Seymour Rosenberg', 'Max S. Schoeffler']",2,2,1965,7,2.0,,jmp,1965-Rosenberg-Learning.txt,0.0
43,10.1016/0022-2496(66)90003-4,['Optimal stimulus presentation strategy for a stimulus sampling model of learning'],"['W. Karush', 'R.E. Dear']",3,1,1966,2,18.0,,jmp,1966-Karush-Stimulus.txt,0.3
44,10.1016/0022-2496(66)90011-3,['Conditioning parameter model for reinforcement generalization in probabilistic discrimination learning'],['Wayne Lee'],3,1,1966,2,7.0,,jmp,1966-Lee-Parameter.txt,0.1
45,10.1016/0022-2496(66)90008-3,['Theoretical interpretations of a Markov model for avoidance conditioning'],"['John Theios', 'John Brelsford']",3,1,1966,2,9.0,,jmp,1966-Theios-Interpretations.txt,0.2
46,10.1016/0022-2496(66)90002-2,['The axioms and principal results of classical test theory'],['Melvin R. Novick'],3,1,1966,2,325.0,,jmp,1966-Novick-Axioms.txt,5.4
47,10.1016/0022-2496(66)90004-6,['A model for detection in temporally unstructured experiments with a poisson distribution of signal presentations'],['R.Duncan Luce'],3,1,1966,2,7.0,,jmp,1966-Luce-Detection.txt,0.1
48,10.1016/0022-2496(66)90006-x,['A model for response latency in paired-associate learning'],"['Patrick Suppes', 'Guy Groen', 'Madeleine Schlag-Rey']",3,1,1966,2,16.0,40.0,jmp,1966-Suppes-Response.txt,0.3
49,10.1016/0022-2496(66)90009-5,['Presolution dimensional shifts in concept identification: A test of the sampling with replacement axiom in all-or-none models'],"['Tom Trabasso', 'Gordon Bower']",3,1,1966,2,43.0,,jmp,1966-Trabasso-Dimensional.txt,0.7
50,10.1016/0022-2496(66)90012-5,"['A continuous-response task with nondeterminate, contingent reinforcement']","['Patrick Suppes', 'Joseph L. Zinnes']",3,1,1966,2,1.0,,jmp,1966-Suppes-Continuous_response.txt,0.0
51,10.1016/0022-2496(66)90007-1,['Learning and extinction of leadership preferences in small groups'],"['Arnold Binder', 'Burton R. Wolin', 'Stanley J. Terebinski']",3,1,1966,2,3.0,,jmp,1966-Binder-Extinction.txt,0.0
52,10.1016/0022-2496(66)90010-1,['An empirical evaluation and comparison of two models for discriminability scales'],['Raymond H. Hohle'],3,1,1966,2,18.0,,jmp,1966-Hohle-Empirical.txt,0.3
53,10.1016/0022-2496(66)90005-8,['The Lie algebra of visual perception'],['William C. Hoffman'],3,1,1966,2,225.0,,jmp,1966-Hoffman-Lie.txt,3.8
54,10.1016/0022-2496(66)90013-7,['Some statistical problems in connection with word association data'],['Frank A. Haight'],3,1,1966,2,22.0,,jmp,1966-Haight-Statistical.txt,0.4
55,10.1016/0022-2496(66)90022-8,['Recognition learning as a function of the length of the retention interval and changes in the retention interval'],['Walter Kintsch'],3,2,1966,7,15.0,,jmp,1966-Kintsch-Learning.txt,0.2
56,10.1016/0022-2496(66)90016-2,"[""Models for Prisoner's Dilemma""]","['Anatol Rapoport', 'Philip Dale']",3,2,1966,7,10.0,27.0,jmp,"1966-Rapoport-[""models.txt",0.2
57,10.1016/0022-2496(66)90020-4,['The structure of responses to a sequence of binary events'],"['Julian Feldman', 'Joe F. Hanna']",3,2,1966,7,12.0,,jmp,1966-Feldman-Structure.txt,0.2
58,10.1016/0022-2496(66)90017-4,['Metric structures in ordinal data'],['Roger N. Shepard'],3,2,1966,7,268.0,,jmp,1966-Shepard-Structures.txt,4.5
59,10.1016/0022-2496(66)90023-x,['Stationary value mechanisms and expected utility theory'],['Peter C. Fishburn'],3,2,1966,7,6.0,,jmp,1966-Fishburn-Value.txt,0.1
60,10.1016/0022-2496(66)90015-0,['An approach to free-responding on schedules that prescribe reinforcement probability as a function of interresponse time'],['M.Frank Norman'],3,2,1966,7,17.0,,jmp,1966-Norman-Approach.txt,0.3
61,10.1016/0022-2496(66)90024-1,['Choice behavior and reward structure: Differential payoff'],"['J.L. Myers', 'Mary M. Suydam', 'O. Heuckeroth']",3,2,1966,7,4.0,,jmp,1966-Myers-Behavior.txt,0.1
62,10.1016/0022-2496(66)90021-6,['All-or-none transfer based on verbally mediated concepts'],"['James G. Greeno', 'Joseph M. Scandura']",3,2,1966,7,21.0,,jmp,1966-Greeno-Transfer.txt,0.4
63,10.1016/0022-2496(66)90018-6,['Strength models and serial position in short-term recognition memory'],"['Wayne A. Wickelgren', 'Donald A. Norman']",3,2,1966,7,125.0,,jmp,1966-Wickelgren-Models.txt,2.1
64,10.1016/0022-2496(66)90019-8,['Two extensions of conjoint measurement'],['R.Duncan Luce'],3,2,1966,7,45.0,,jmp,1966-Luce-Extensions.txt,0.8
65,10.1016/0022-2496(66)90025-3,['A Markov model for order of emission in free recall'],['Thaddeus M. Cowan'],3,2,1966,7,2.0,,jmp,1966-Cowan-Markov.txt,0.0
66,10.1016/0022-2496(67)90047-8,['Some comments on the accuracy and the validity of a cue variable'],['James C. Naylor'],4,1,1967,2,11.0,,jmp,1967-Naylor-Comments.txt,0.2
67,10.1016/0022-2496(67)90042-9,['Testing expectation theories of decision making without measuring utility or subjective probability'],"['C.H. Coombs', 'T.G. Bezembinder', 'F.M. Goode']",4,1,1967,2,40.0,,jmp,1967-Coombs-Expectation.txt,0.7
68,10.1016/0022-2496(67)90045-4,['Statistics and moments-parameter estimates for a duoprocess paired-associate learning model'],['Irwin D. Nahinsky'],4,1,1967,2,6.0,,jmp,1967-Nahinsky-Moments_parameter.txt,0.1
69,10.1016/0022-2496(67)90041-7,['Dynamic programming models for multistage decision-making tasks'],['Amnon Rapoport'],4,1,1967,2,21.0,,jmp,1967-Rapoport-Programming.txt,0.4
70,10.1016/0022-2496(67)90048-x,['Decomposition of communication networks'],['Kenneth D. Mackenzie'],4,1,1967,2,7.0,,jmp,1967-Mackenzie-Communication.txt,0.1
71,10.1016/0022-2496(67)90044-2,['Choice behavior and reward structure: Preasymptotic statistics'],"['Otto Heuckeroth', 'Jerome L. Myers']",4,1,1967,2,2.0,,jmp,1967-Heuckeroth-Behavior.txt,0.0
72,10.1016/0022-2496(67)90043-0,['Conjoint measurement in utility theory with incomplete product sets'],['Peter C. Fishburn'],4,1,1967,2,34.0,,jmp,1967-Fishburn-Utility.txt,0.6
73,10.1016/0022-2496(67)90039-9,['A general theory of polynomial conjoint measurement'],['Amos Tversky'],4,1,1967,2,71.0,,jmp,1967-Tversky-General.txt,1.2
74,10.1016/0022-2496(67)90046-6,"[""A note on Roskies' axioms for multiplicative representation""]",['A.A. Gioia'],4,1,1967,2,2.0,,jmp,"1967-Gioia-[""a.txt",0.0
75,10.1016/0022-2496(67)90040-5,['Experimental manipulation of state occupancy in a Markov model for avoidance conditioning'],['John W. Brelsford'],4,1,1967,2,5.0,,jmp,1967-Brelsford-Manipulation.txt,0.1
76,10.1016/0022-2496(67)90056-9,['On rational quasi-multiplicative families of operators'],['J. Aczel'],4,2,1967,6,0.0,1.0,jmp,1967-Aczel-Rational.txt,0.0
77,10.1016/0022-2496(67)90050-8,['Foundations of stimulus-sampling theory for continuous-time processes'],"['P. Suppes', 'J. Donio']",4,2,1967,6,7.0,8.0,jmp,1967-Suppes-Stimulus_sampling.txt,0.1
78,10.1016/0022-2496(67)90055-7,['Tests of a mixed model for paired-associates learning with overlapping stimuli'],"['Morton P. Friedman', 'Tom Trabasso', 'Ludwig Mosberg']",4,2,1967,6,6.0,,jmp,1967-Friedman-Mixed.txt,0.1
79,10.1016/0022-2496(67)90057-0,"[""Graph-theoretical properties of Elithorn's maze""]",['David N. Lee'],4,2,1967,6,6.0,,jmp,"1967-Lee-[""graph_theoretical.txt",0.1
80,10.1016/0022-2496(67)90051-x,['Rational distance functions for multidimensional scaling'],['David H. Krantz'],4,2,1967,6,57.0,,jmp,1967-Krantz-Distance.txt,1.0
81,10.1016/0022-2496(67)90049-1,"['Additivity, utility, and subjective probability']",['Amos Tversky'],4,2,1967,6,194.0,,jmp,"1967-Tversky-Utility,.txt",3.3
82,10.1016/0022-2496(67)90054-5,['A generalized urn scheme for simple learning with a continuum of responses'],['Barry C. Arnold'],4,2,1967,6,2.0,,jmp,1967-Arnold-Generalized.txt,0.0
83,10.1016/0022-2496(67)90052-1,['Process models and stochastic theories of simple concept formation'],"['L.W. Gregg', 'H.A. Simon']",4,2,1967,6,87.0,,jmp,1967-Gregg-Models.txt,1.5
84,10.1016/0022-2496(67)90053-3,['Multiprocess models for memory with applications to a continuous presentation task'],"['R.C. Atkinson', 'J.W. Brelsford', 'R.M. Shiffrin']",4,2,1967,6,32.0,,jmp,1967-Atkinson-Models.txt,0.5
85,10.1016/0022-2496(67)90030-2,['Neural counting mechanisms and energy detection in audition'],['William J. McGill'],4,3,1967,10,176.0,,jmp,1967-McGill-Counting.txt,3.0
86,10.1016/0022-2496(67)90036-3,['Theoretical note: A fixed-point model for short-term memory'],['Bennet B. Murdock'],4,3,1967,10,8.0,,jmp,1967-Murdock-Note:.txt,0.1
87,10.1016/0022-2496(67)90034-x,['Response speeds in probability learning'],"['Jerome L. Myers', 'Blase Gambino', 'Mari R. Jones']",4,3,1967,10,2.0,,jmp,1967-Myers-Speeds.txt,0.0
88,10.1016/0022-2496(67)90033-8,['Paired-associate learning with short-term retention: Mathematical analysis and data regarding identification of parameters'],['James G. Greeno'],4,3,1967,10,54.0,105.0,jmp,1967-Greeno-Learning.txt,0.9
89,10.1016/0022-2496(67)90032-6,['Abstract one-parameter families of commutative learning operators'],['A.A.J. Marley'],4,3,1967,10,8.0,,jmp,1967-Marley-One_parameter.txt,0.1
90,10.1016/0022-2496(67)90031-4,['A variation on the minimum chi-square test'],['Paul W. Holland'],4,3,1967,10,7.0,,jmp,1967-Holland-Variation.txt,0.1
91,10.1016/0022-2496(67)90035-1,['Response distribution for the continuous-time N-element pattern model'],['Barry C. Arnold'],4,3,1967,10,0.0,,jmp,1967-Arnold-Distribution.txt,0.0
92,10.1016/0022-2496(68)90063-1,['Probabilistic reinforcement of reversal and dimensional shifts'],['Richard B. Millward'],5,1,1968,2,4.0,,jmp,1968-Millward-Reinforcement.txt,0.1
93,10.1016/0022-2496(68)90060-6,['Explorations with a discrimination net model for paired-associate learning'],['Douglas L. Hintzman'],5,1,1968,2,25.0,,jmp,1968-Hintzman-Discrimination.txt,0.4
94,10.1016/0022-2496(68)90059-x,['Unidimensional strength theory and component analysis of noise in absolute and comparative judgments'],['Wayne A. Wickelgren'],5,1,1968,2,86.0,,jmp,1968-Wickelgren-Strength.txt,1.5
95,10.1016/0022-2496(68)90056-4,['A theory of context effects based on cross-context matching'],['David H. Krantz'],5,1,1968,2,17.0,37.0,jmp,1968-Krantz-Context.txt,0.3
96,10.1016/0022-2496(68)90057-6,['Central refractoriness in simple reaction time: The deferred processing model'],['Robert T. Ollman'],5,1,1968,2,26.0,,jmp,1968-Ollman-Refractoriness.txt,0.4
97,10.1016/0022-2496(68)90058-8,['Some convergence theorems for stochastic learning models with distance diminishing operators'],['M.Frank Norman'],5,1,1968,2,62.0,,jmp,1968-Norman-Convergence.txt,1.1
98,10.1016/0022-2496(68)90061-8,['Choice behavior in a Markovian decision task'],['Amnon Rapoport'],5,1,1968,2,8.0,,jmp,1968-Rapoport-Behavior.txt,0.1
99,10.1016/0022-2496(68)90062-x,['All-or-none subprocesses in the learning of complex sequences'],['Robert A. Bjork'],5,1,1968,2,14.0,,jmp,1968-Bjork-Subprocesses.txt,0.2
100,10.1016/0022-2496(68)90074-6,['Maximizing the validity of a test battery as a function of relative test lengths for a fixed total testing time'],"['Max A. Woodbury', 'Melvin R. Novick']",5,2,1968,6,14.0,,jmp,1968-Woodbury-Validity.txt,0.2
101,10.1016/0022-2496(68)90075-8,"['Learning of two-choice, differential reward problems with informational constraints on payoff combinations']","['Michael S. Humphreys', 'Gordon A. Allen', 'W.K. Estes']",5,2,1968,6,4.0,,jmp,"1968-Humphreys-Two_choice,.txt",0.1
102,10.1016/0022-2496(68)90076-x,['An experimental test of a stochastic model of intrapersonal conflict in a two-person situation'],['Seymour Rosenberg'],5,2,1968,6,6.0,,jmp,1968-Rosenberg-Experimental.txt,0.1
103,10.1016/0022-2496(68)90077-1,['The role of cue validity in stimulus compounding'],"['Morton P. Friedman', 'Howard Rollins', 'Gilbert Padilla']",5,2,1968,6,3.0,,jmp,1968-Friedman-Cue.txt,0.1
104,10.1016/0022-2496(68)90078-3,['Some probabilistic models of simple choice and ranking'],['A.A.J. Marley'],5,2,1968,6,37.0,,jmp,1968-Marley-Probabilistic.txt,0.6
105,10.1016/0022-2496(68)90079-5,['Folded and unfolded scaling from preferential paired comparisons'],['Gordon G. Bechtel'],5,2,1968,6,26.0,,jmp,1968-Bechtel-Unfolded.txt,0.4
106,10.1016/0022-2496(68)90073-4,['On the linear model with two absorbing barriers'],['M.Frank Norman'],5,2,1968,6,46.0,,jmp,1968-Norman-Linear.txt,0.8
107,10.1016/0022-2496(68)90080-1,['Semiorders and risky choices'],['Peter C. Fishburn'],5,2,1968,6,23.0,,jmp,1968-Fishburn-Risky.txt,0.4
108,10.1016/0022-2496(68)90081-3,['Near-perfect runs as a learning criterion'],"['L.K. Runnels', 'Robert Thompson', 'Patricia Runnels']",5,2,1968,6,31.0,,jmp,1968-Runnels-Runs.txt,0.5
109,10.1016/0022-2496(68)90083-7,['Maximum-likelihood estimation of receiver operating characteristic curve parameters'],"['John C. Ogilvie', 'C.Douglas Creelman']",5,3,1968,10,111.0,,jmp,1968-Ogilvie-Receiver.txt,1.9
110,10.1016/0022-2496(68)90087-4,['Theoretical distribution of second choice scores in a paired-associate task if learning is all-or-none'],['G.D. Cumming'],5,3,1968,10,2.0,,jmp,1968-Cumming-Distribution.txt,0.0
111,10.1016/0022-2496(68)90084-9,"['Matching, discrimination, and payoffs']","['Joseph L. Zinnes', 'Ronald Kurtz']",5,3,1968,10,7.0,,jmp,"1968-Zinnes-Discrimination,.txt",0.1
112,10.1016/0022-2496(68)90085-0,['Relations between choice and latency measures in a selective learning paradigm'],"['Jack Catlin', 'Henry Gleitman']",5,3,1968,10,5.0,,jmp,1968-Catlin-Between.txt,0.1
113,10.1016/0022-2496(68)90088-6,['An application of truth functional logic to concept-attainment experiments'],"['Thomas H. Mott', 'Bruce M. Ross']",5,3,1968,10,1.0,,jmp,1968-Mott-Truth.txt,0.0
114,10.1016/0022-2496(68)90082-5,['Polynomial psychometric functions in audition'],['W.J. McGill'],5,3,1968,10,1.0,,jmp,1968-McGill-Psychometric.txt,0.0
115,10.1016/0022-2496(68)90086-2,['A comparison of a Hullian paired-associate learning model with other models appropriate to an RNT5 design with 1:1 pairing of stimuli and responses'],"['John W. Cotton', 'James M. Sloss', 'Julian R. Taplin', 'A.Everett Nielsen']",5,3,1968,10,2.0,,jmp,1968-Cotton-Comparison.txt,0.0
116,10.1016/0022-2496(69)90028-5,['Associative strength theory of recognition memory for pitch'],['Wayne A. Wickelgren'],6,1,1969,2,103.0,,jmp,1969-Wickelgren-Strength.txt,1.8
117,10.1016/0022-2496(69)90027-3,['Substitutability and similarity in binary choices'],"['Amos Tversky', 'J. Edward Russo']",6,1,1969,2,144.0,,jmp,1969-Tversky-Similarity.txt,2.5
118,10.1016/0022-2496(69)90032-7,['The algebra of group kinship'],['John Paul Boyd'],6,1,1969,2,52.0,,jmp,1969-Boyd-Algebra.txt,0.9
119,10.1016/0022-2496(69)90029-7,['A three state Markov model for discrimination learning'],['Dominic W. Massaro'],6,1,1969,2,5.0,,jmp,1969-Massaro-Three.txt,0.1
120,10.1016/0022-2496(69)90030-3,['Subjective probability in choice-reaction experiments'],['D.R.J. Laming'],6,1,1969,2,48.0,,jmp,1969-Laming-Probability.txt,0.8
121,10.1016/0022-2496(69)90031-5,['A generalized linear learning model'],"['John Bishir', 'Donald W. Drewes']",6,1,1969,2,2.0,,jmp,1969-Bishir-Generalized.txt,0.0
122,10.1016/0022-2496(69)90003-0,['Embedding fields: A theory of learning with physiological implications'],['Stephen Grossberg'],6,2,1969,6,81.0,,jmp,1969-Grossberg-Fields:.txt,1.4
123,10.1016/0022-2496(69)90002-9,['Strength theory of decision rules and latency in retrieval from short-term memory'],"['Donald A. Norman', 'Wayne A. Wickelgren']",6,2,1969,6,105.0,,jmp,1969-Norman-Decision.txt,1.8
124,10.1016/0022-2496(69)90006-6,['A stimulus sampling model for simultaneous discrimination learning'],['Elizabeth Lynn'],6,2,1969,6,1.0,,jmp,1969-Lynn-Stimulus.txt,0.0
125,10.1016/0022-2496(69)90009-1,['Test of a conflict model for preference judgment'],"['James C. Shanteau', 'Norman H. Anderson']",6,2,1969,6,27.0,,jmp,1969-Shanteau-Conflict.txt,0.5
126,10.1016/0022-2496(69)90005-4,['Statistical theory for logistic mental test models with a prior distribution of ability'],['Allan Birnbaum'],6,2,1969,6,57.0,,jmp,1969-Birnbaum-Logistic.txt,1.0
127,10.1016/0022-2496(69)90001-7,['A psychological method to investigate verbal concepts'],['George A. Miller'],6,2,1969,6,188.0,533.0,jmp,1969-Miller-Psychological.txt,3.3
128,10.1016/0022-2496(69)90008-x,['Some information measures for testing stochastic models'],['Joseph F. Hanna'],6,2,1969,6,9.0,,jmp,1969-Hanna-Information.txt,0.2
129,10.1016/0022-2496(69)90004-2,['Stimulus sampling learning models described as continuous-time stochastic processes'],['Jean Donio'],6,2,1969,6,0.0,,jmp,1969-Donio-Sampling.txt,0.0
130,10.1016/0022-2496(69)90007-8,['Strong and weak extensive measurement'],['Eric W. Holman'],6,2,1969,6,17.0,,jmp,1969-Holman-Weak.txt,0.3
131,10.1016/0022-2496(69)90023-6,['Probability learning with noncontingent success'],['John I. Yellott'],6,3,1969,10,40.0,,jmp,1969-Yellott-Learning.txt,0.7
132,10.1016/0022-2496(69)90019-4,['Maximum-likelihood estimation of parameters of signal-detection theory and determination of confidence intervals—Rating-method data'],"['Donald D. Dorfman', 'Edward Alf']",6,3,1969,10,656.0,1175.0,jmp,1969-Dorfman-Parameters.txt,11.5
133,10.1016/0022-2496(69)90013-3,['Statistical analysis of data from experiments in human signal detection'],"['I.G. Abrahamson', 'H. Levitt']",6,3,1969,10,8.0,,jmp,1969-Abrahamson-Experiments.txt,0.1
134,10.1016/0022-2496(69)90011-x,['A note on the strong convergence of the relative observed score in mental test theory'],['Melvin R. Novick'],6,3,1969,10,0.0,,jmp,1969-Novick-Note.txt,0.0
135,10.1016/0022-2496(69)90020-0,['The relative effects of reward and nonreward in simple learning'],['Eric W. Holman'],6,3,1969,10,0.0,,jmp,1969-Holman-Relative.txt,0.0
136,10.1016/0022-2496(69)90018-2,"['Shell game: A three-choice, contingent procedure for probability learning']","['Michael Cole', 'Leo Keller']",6,3,1969,10,0.0,,jmp,1969-Cole-Game:.txt,0.0
137,10.1016/0022-2496(69)90010-8,['Stimulus-response theory of finite automata'],['Patrick Suppes'],6,3,1969,10,56.0,194.0,jmp,1969-Suppes-Finite.txt,1.0
138,10.1016/0022-2496(69)90021-2,['Risk-preference in coin-toss games'],"['Clyde H. Coombs', 'David Edward Meyer']",6,3,1969,10,39.0,,jmp,1969-Coombs-Coin_toss.txt,0.7
139,10.1016/0022-2496(69)90015-7,['Value of information for decisions'],['Dirk Wendt'],6,3,1969,10,28.0,,jmp,1969-Wendt-Information.txt,0.5
140,10.1016/0022-2496(69)90012-1,['Composite measurement'],"['A. Ducamp', 'J.C. Falmagne']",6,3,1969,10,81.0,,jmp,1969-Ducamp-None.txt,1.4
